x0,x1,x2,x3,x4,x5,target
-0.14409,-0.172904,-0.111316,0.701984,-0.127588,-1.497353,0
-0.267337,-0.216959,0.115885,0.232298,1.163559,0.656637,0
-0.738322,-1.014662,0.246342,1.311081,0.041657,-0.106323,1
-1.453545,-0.312277,0.490363,0.873404,-0.24063,0.3766,0
0.782327,-1.113222,0.568251,-1.51452,-2.619945,-0.606891,1
0.876012,0.664266,-1.219075,0.847361,-1.002203,-0.086244,0
0.11442,0.818636,0.638414,0.349885,0.649948,0.478492,0
-0.717371,-0.469968,0.499326,-0.250116,2.335754,-0.819293,0
0.768474,1.42185,0.505693,0.835817,1.426345,-0.094027,0
-0.532077,0.952896,-1.443678,0.033531,0.253237,-0.315592,0
0.58078,2.321409,0.619968,-0.609403,-0.561798,-0.831581,0
-0.566833,-0.070261,0.749303,-0.723463,-0.293658,-1.841286,0
-0.567736,0.415761,1.193493,-0.018467,0.261364,0.167969,0
0.893355,0.273693,-1.010944,0.903385,0.381047,1.226942,1
1.953101,-0.358876,1.59306,0.115119,-0.516269,-1.128448,1
1.423321,0.816374,0.688884,-2.375873,0.710964,0.555852,0
-0.627384,-0.00231,1.724876,-1.055101,-0.427805,1.361785,0
-0.364251,0.097776,-1.241289,0.219945,-1.209618,0.885198,0
2.283431,0.280841,1.365689,-1.303264,-0.122139,0.323146,1
-1.680916,0.99062,0.591354,1.533546,0.712386,0.052071,0
-1.24818,0.195423,-0.191697,2.020267,-0.611025,0.320392,0
-0.395463,0.261148,0.82396,1.448102,-0.044148,-1.117245,1
0.516987,0.491658,-0.700288,1.133384,0.087896,0.699825,0
0.609272,0.286516,2.152795,0.243703,-0.295964,0.111967,1
0.118712,0.519378,1.195731,-0.512859,-1.72657,0.299423,0
-0.60801,0.871086,0.607567,-0.994992,0.518218,-0.196105,0
0.45295,-0.045215,-0.745283,0.522946,0.488093,-0.577537,1
1.015065,-0.712667,0.38089,0.002756,2.26601,-1.862303,1
-0.306245,-0.100198,1.901589,-0.008573,2.240944,-0.442148,0
-0.490848,-0.690688,0.062483,-0.282572,0.202492,-2.105028,1
-0.166997,1.742906,-1.007112,0.292536,3.164942,-0.869729,0
-0.54651,0.472488,0.69334,1.290367,-0.257012,-1.602251,0
1.240223,0.465663,-1.956939,-0.035052,1.398168,2.126548,1
0.309302,-1.240206,-0.843243,0.046916,0.503198,0.580184,1
-1.151942,-0.777782,-1.156974,0.643409,-2.312281,-0.333278,0
1.522013,0.0713,1.001284,-0.399004,-0.744404,-0.674393,1
0.994221,0.487398,3.330269,-0.032341,0.62035,0.307592,1
2.316171,1.506605,-1.39948,-0.399846,0.428337,0.783183,1
